Key,Author,Title,Source URI,Filename,License,License URI,Comments
beep,Mike Koenig,Beep,http://soundbible.com/1251-Beep.html,Beep-SoundBible.com-923660219.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
beep-checkout-scanner,Mike Koenig,Checkout Scanner Beep,http://soundbible.com/819-Checkout-Scanner-Beep.html,Checkout Scanner Beep-SoundBible.com-593325210.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
beep-music-censor,Mike Koenig,Music Censor,http://soundbible.com/1013-Music-Censor.html,Music Censor-SoundBible.com-818434396.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
bleep,Mike Koenig,Bleep,http://soundbible.com/1252-Bleep.html,Bleep-SoundBible.com-1927126940.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
click,Mike Koenig,Click,http://soundbible.com/783-Click.html,Click-SoundBible.com-1387633738.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
click-in-out,Mike Koenig,Click Button 2,http://soundbible.com/185-Click-Button-2.html,Click Button 2-SoundBible.com-911295385.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
crowd-small-applause,Yannick Lemieux,Small Crowd Applause,http://soundbible.com/1964-Small-Crowd-Applause.html,SMALL_CROWD_APPLAUSE-Yannick_Lemieux-1268806408.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
ding,Corsica,Air Plane Ding,http://soundbible.com/1424-Air-Plane-Ding.html,Air Plane Ding-SoundBible.com-496729130.mp3,Sampling Plus 1.0,https://creativecommons.org/licenses/sampling+/1.0/,
error-alert,Mike Koenig,Computer Error Alert,http://soundbible.com/1540-Computer-Error-Alert.html,Computer Error Alert-SoundBible.com-783113881.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
error-computer,Mike Koenig,Computer Error,http://soundbible.com/1127-Computer-Error.html,Computer Error-SoundBible.com-1655839472.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
error-sci-fi,BlastwaveFx.com,Computer Sci Fi,http://soundbible.com/561-Computer-Sci-Fi.html,Computer Sci Fi-SoundBible.com-688097368.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
explosion-ultra-bass,Mark DiAngelo,Explosion Ultra Bass,http://soundbible.com/1807-Explosion-Ultra-Bass.html,Explosion_Ultra_Bass-Mark_DiAngelo-1810420658.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
pling,KevanGC,Pling,http://soundbible.com/1645-Pling.html,Pling-KevanGC-1485374730.mp3,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,
sad-trombone,Joe Lamb,Sad Trombone,http://soundbible.com/1830-Sad-Trombone.html,Sad_Trombone-Joe_Lamb-665429450.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
service-bell-help,Daniel Simion,Service Bell Help,http://soundbible.com/2218-Service-Bell-Help.html,service-bell_daniel_simion.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
slap,SoundMaster13,Slap,http://soundbible.com/1948-Slap.html,Slap-SoundMaster13-49669815.mp3,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,
toggle,Mike Koenig,Toggle,http://soundbible.com/759-Toggle.html,Toggle-SoundBible.com-231290292.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
error-computer—flash,Mike Koenig,Computer Error,http://soundbible.com/121-Computer-Error.html,Computer Error-SoundBible.com-69768060.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
swoosh,man,Swoosh 3,http://soundbible.com/706-Swoosh-3.html,Swoosh 3-SoundBible.com-1573211927.mp3,Sampling Plus 1.0,https://creativecommons.org/licenses/sampling+/1.0/,
click-in-out-thick,Mike Koenig,Button Click,http://soundbible.com/893-Button-Click.html,Button Click-SoundBible.com-1931397433.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
swoosh-reverse,man,Swoosh 3,http://soundbible.com/706-Swoosh-3.html,Swoosh 3-Reverse-SoundBible.com-1573211927.mp3,Sampling Plus 1.0,https://creativecommons.org/licenses/sampling+/1.0/,Reversed original sound and cut silence at beginning
blop,Mark DiAngelo,Blop,http://soundbible.com/2067-Blop.html,Blop-Mark_DiAngelo-79054334.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
click-in-out-thin,Simon Craggs,Pen Clicks,http://soundbible.com/1970-Pen-Clicks.html,Pen_Clicks-Simon_Craggs-514025171.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
push-button-tiny,Mike Koenig,Tiny Button Push,http://soundbible.com/419-Tiny-Button-Push.html,Tiny Button Push-SoundBible.com-513260752.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
jump,snottyboy,Jump,http://soundbible.com/1343-Jump.html,Jump-SoundBible.com-1007297584.mp3,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
error-buzz,Autistic Lucario,Error,https://freesound.org/people/Autistic%20Lucario/sounds/142608/,142608__autistic-lucario__error.wav,Attribution 3.0,https://creativecommons.org/licenses/by/3.0/,
